ObsNo	NOx	Humidity	Temp	Pressure
1	0.72	96.5	78.1	29.08
2	0.7	108.72	67.93	29.98
3	0.95	61.37	88.27	29.34
4	0.85	91.26	73.63	29.03
5	0.79	96.83	71.02	29.05
6	0.71	95.94	76.11	29.04
7	0.76	83.61	78.29	28.87
8	0.79	75.97	69.35	29.07
9	0.69	108.66	65.44	29
10	0.82	78.59	85.67	29.02
11	1.01	33.85	89.28	29.43
12	1	49.2	87.33	29.43
13	0.86	75.75	82.49	29.06
14	0.7	128.81	76.83	28.96
15	0.81	82.36	87.12	29.12
16	0.72	122.6	76.2	29.15
17	0.76	124.69	80.17	29.09
18	0.75	120.04	87.54	29.09
19	0.7	139.47	77.54	28.99
20	0.73	105.44	73.12	29.21
